City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Severo-Kurilsk,RU,50.6789,156.125,41.9,95,100,22.01,moderate rain
79,Yinchuan,CN,38.4681,106.2731,79.79,12,56,6.8,broken clouds
80,Edgewater,US,28.9889,-80.9023,91.26,62,40,4.61,scattered clouds
81,Jamestown,US,42.097,-79.2353,82.29,44,1,16.11,clear sky
82,Westport,US,41.1415,-73.3579,89.42,57,1,1.01,clear sky
83,Yanam,IN,16.7333,82.2167,84.6,75,9,7.38,clear sky
84,Fairview,US,40.8126,-73.999,90.1,52,1,6.91,clear sky
85,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,40,8.84,scattered clouds
86,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,100,90,23.02,mist
87,Lagoa,PT,39.05,-27.9833,62.92,81,0,0.56,clear sky
88,Mezen,RU,65.8522,44.24,56.1,74,41,7.81,scattered clouds
89,Chapais,CA,49.7834,-74.8492,58.78,92,100,8.55,overcast clouds
90,Hambantota,LK,6.1241,81.1185,79.88,81,48,14.74,scattered clouds
91,Thompson,CA,55.7435,-97.8558,55.56,76,75,6.91,broken clouds
92,Mahebourg,MU,-20.4081,57.7,74.25,83,40,5.75,scattered clouds
93,Sistranda,NO,63.7256,8.834,64.36,86,94,10.47,overcast clouds
94,Grand Gaube,MU,-20.0064,57.6608,74.37,82,6,1.99,clear sky
95,Emet,TR,39.343,29.2585,60.12,50,23,11.45,few clouds
96,Nome,US,64.5011,-165.4064,33.87,86,90,6.91,light snow
97,Hare Bay,CA,48.8499,-54.0148,59.14,59,92,8.19,overcast clouds
98,Chokurdakh,RU,70.6333,147.9167,49.5,78,98,8.63,light rain
99,Whitehorse,CA,60.7161,-135.0538,47.17,61,75,1.99,broken clouds
100,Lebu,CL,-37.6167,-73.65,52.3,70,81,9.44,broken clouds
101,Andenes,NO,69.3143,16.1194,51.46,81,20,9.22,few clouds
102,Panjakent,TJ,39.4952,67.6093,85.8,21,57,8.37,broken clouds
103,Walvis Bay,NA,-22.9575,14.5053,77.05,26,0,8.46,clear sky
104,Taihe,CN,30.8712,105.3845,74.05,54,100,4.14,overcast clouds
105,Tiksi,RU,71.6872,128.8694,32.34,82,100,1.3,overcast clouds
106,Saint-Augustin,CA,51.226,-58.6502,52.0,79,98,11.18,overcast clouds
107,Kismayo,SO,-0.3582,42.5454,78.93,79,71,14.32,broken clouds
108,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,98,7.0,overcast clouds
109,Avarua,CK,-21.2078,-159.775,73.45,94,75,10.36,light rain
110,San Quintin,MX,30.4833,-115.95,66.15,68,11,7.74,few clouds
111,Bonthe,SL,7.5264,-12.505,83.53,72,90,8.48,light rain
112,Fort Nelson,CA,58.8053,-122.7002,49.59,76,75,4.61,broken clouds
113,Kruisfontein,ZA,-34.0033,24.7314,58.89,46,0,7.7,clear sky
114,Havoysund,NO,70.9963,24.6622,43.68,77,100,14.56,overcast clouds
115,Rawson,AR,-43.3002,-65.1023,51.49,45,2,24.02,clear sky
116,Victoria,HK,22.2855,114.1577,83.32,71,67,1.01,broken clouds
117,Marawi,PH,7.9986,124.2928,69.66,93,100,2.08,overcast clouds
118,Llata,PE,-9.4167,-76.7833,58.78,67,97,4.07,overcast clouds
119,Seoul,KR,37.5683,126.9778,65.71,94,75,3.24,mist
120,Lompoc,US,34.6391,-120.4579,66.13,86,90,5.28,mist
121,Cherskiy,RU,68.75,161.3,57.96,45,43,12.33,scattered clouds
122,Lavrentiya,RU,65.5833,-171.0,31.77,94,98,8.46,overcast clouds
123,Buala,SB,-8.145,159.5921,79.29,82,92,3.36,overcast clouds
124,Inyonga,TZ,-6.7167,32.0667,72.91,54,94,4.81,overcast clouds
125,Buraydah,SA,26.326,43.975,103.01,6,16,5.32,few clouds
126,Mar Del Plata,AR,-38.0023,-57.5575,59.09,41,0,1.01,clear sky
127,Georgetown,MY,5.4112,100.3354,80.53,90,20,1.9,heavy intensity rain
128,Avera,US,33.194,-82.5271,87.67,68,100,4.25,overcast clouds
129,Nelson Bay,AU,-32.7167,152.15,50.0,63,83,14.61,broken clouds
130,Cap Malheureux,MU,-19.9842,57.6142,74.46,82,5,1.99,clear sky
131,Tiznit,MA,29.5833,-9.5,72.99,47,0,11.48,clear sky
132,College,US,64.8569,-147.8028,55.06,68,40,3.44,scattered clouds
133,Monroe,US,43.1501,-77.6831,84.58,49,75,23.02,broken clouds
134,Waingapu,ID,-9.6567,120.2641,76.23,87,76,7.7,broken clouds
135,Klaksvik,FO,62.2266,-6.589,54.52,91,54,12.46,broken clouds
136,Esperance,AU,-33.8667,121.9,53.44,59,100,13.29,overcast clouds
137,Hobyo,SO,5.3505,48.5268,79.32,79,6,24.81,clear sky
138,San Patricio,US,28.017,-97.5169,85.01,65,3,6.96,clear sky
139,Saint-Pierre,RE,-21.3393,55.4781,74.84,94,90,6.91,moderate rain
140,Kichera,RU,55.9375,110.0997,63.82,36,94,0.92,overcast clouds
141,Ketchikan,US,55.3422,-131.6461,48.18,94,100,5.06,moderate rain
